Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Average Flow Duration,Average Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,52.95.123.17,206522470,66,2.0652247E8,66.0,0.0,0.0
192.168.20.48,52.20.206.121,5283690,319,2641845.0,159.5,2280583.0,142.5
192.168.20.43,209.54.181.4,502070,10,502070.0,10.0,0.0,0.0
192.168.20.43,52.46.137.106,403697,12,403697.0,12.0,0.0,0.0
192.168.20.42,216.58.213.74,18464734,133,9232367.0,66.5,4066833.0,43.5
54.68.57.171,192.168.20.43,1935,1,1935.0,1.0,0.0,0.0
54.242.128.35,192.168.20.48,391210,30,391210.0,30.0,0.0,0.0
192.168.20.48,34.238.175.125,312489,10,312489.0,10.0,0.0,0.0
192.168.20.43,52.94.224.149,102024488,11,1.02024488E8,11.0,0.0,0.0
192.168.20.43,3.91.171.153,667283,20,667283.0,20.0,0.0,0.0
192.168.20.48,52.44.87.149,377186,17,377186.0,17.0,0.0,0.0
192.168.20.43,67.220.240.113,486860,22,486860.0,22.0,0.0,0.0
192.168.20.20,8.8.8.8,313662,12,156831.0,6.0,131689.0,4.0
192.168.20.42,35.186.224.25,429665605,30,4.29665605E8,30.0,0.0,0.0
192.168.20.19,203.107.6.88,3782945,20,3782945.0,20.0,0.0,0.0
192.168.20.48,18.102.55.180,1117029,137,1117029.0,137.0,0.0,0.0
192.168.20.48,43.205.35.127,1440489,51,1440489.0,51.0,0.0,0.0
192.168.20.43,52.94.217.61,2538159,14,2538159.0,14.0,0.0,0.0
54.207.10.176,192.168.20.48,8193,5,8193.0,5.0,0.0,0.0
44.207.137.197,192.168.20.48,2134,2,2134.0,2.0,0.0,0.0
52.84.174.15,192.168.20.43,2520,1,2520.0,1.0,0.0,0.0
192.168.20.43,3.233.174.130,96459794,39,9.6459794E7,39.0,0.0,0.0
192.168.20.48,72.21.195.82,843156,28,843156.0,28.0,0.0,0.0
54.77.51.148,192.168.20.19,33439,73,16719.5,36.5,14844.5,32.5
192.168.20.43,34.203.4.32,97375203,53,9.7375203E7,53.0,0.0,0.0
52.44.87.149,192.168.20.48,1151,1,1151.0,1.0,0.0,0.0
192.168.20.43,18.164.55.40,3602754,47,3602754.0,47.0,0.0,0.0
192.168.20.42,142.250.179.110,48816287,54,4.8816287E7,54.0,0.0,0.0
